model,exact_acc,adjacent_acc,MAE_stages,quadratic_kappa,spearman_rho
Baseline (always MM_New),0.48026315789473684,0.7828947368421053,0.8289473684210527,0.0,
Nominal RF (Section 5),0.6381578947368421,0.9276315789473685,0.4407894736842105,0.7628028726760185,0.6662652782683874
Ordinal RF (Frank-Hall),0.48026315789473684,0.9473684210526315,0.5723684210526315,0.6497539149888143,0.6123529219319229
