k,silhouette_km,ARI_km,NMI_km,ARI_ward
2,0.038266489705118235,0.034562196947057276,0.10468521940357714,-0.05112444718606347
3,0.03125779670099806,0.12434301476235453,0.21903322950993756,0.06375432830900206
4,0.025679660599513918,0.09443664558707668,0.24449049054440136,0.10224299458978925
5,0.024686061689605007,0.07028627152063771,0.19581221277329555,0.11594533818110637
6,0.02180014838423206,0.14415046864631403,0.2594120665621666,0.10355224092230053
7,0.021457842221820043,0.08979747467562206,0.24085546189487705,0.07954026055074168
8,0.019630627966262394,0.09669600948339925,0.27117972133999285,0.09375378194389293
