Gene Symbol,log2FC,pval,adj_pval,significant
MCF2L,0.5999196855195148,7.768984940469553e-05,0.20442098899977657,False
CEP76,0.7214006854203232,0.00012573637169088338,0.20442098899977657,False
UBE2V1P9,0.5356709321694,0.00011229273071681326,0.20442098899977657,False
CDKN2A,0.3855924269830595,2.315306360454569e-05,0.20442098899977657,False
BCKDHB,0.5121969477639894,0.00013898835846475706,0.20442098899977657,False
MSR1,0.8221971990349077,0.00011041979700030533,0.20442098899977657,False
SREBF2,-0.39548329353376843,6.5874349537097e-05,0.20442098899977657,False
CACNG3,-0.5689198665960697,6.557649490791714e-05,0.20442098899977657,False
PAX3,0.530852120233483,0.0001191488219902637,0.20442098899977657,False
SUSD5,-0.9715328214066608,0.00017242309015978456,0.20561139027906233,False
CLCN6,0.6687998847276662,0.00018639696935474412,0.20561139027906233,False
AGPS,0.4418969105842123,0.00017554078182400556,0.20561139027906233,False
TCP11,0.4708842280796297,0.0002391457269209525,0.24350553748097295,False
CAMKV,0.4442612730832831,0.00030351711747186394,0.28697543456964736,False
PMS1,0.29469238833341294,0.0012212158990327206,0.3008354176763616,False
RHCE,0.7285303404020205,0.0010009490830022298,0.3008354176763616,False
OIP5,0.5899700954386464,0.0005739433498173028,0.3008354176763616,False
E2F8,0.8850609528313846,0.000508590672340847,0.3008354176763616,False
HTRA1,0.5205729245779942,0.0008549860627782684,0.3008354176763616,False
BRCA1,0.5860306177218497,0.001115555621218282,0.3008354176763616,False
ALG12,-0.884220878579967,0.0006182093773374284,0.3008354176763616,False
RBM23,0.2263626182334484,0.0005656223102788093,0.3008354176763616,False
FHOD1,0.7075524121760282,0.00048251140731903714,0.3008354176763616,False
KIAA1467,0.4065375491054368,0.0009522096689997351,0.3008354176763616,False
CHEK1,0.4728637817597665,0.0007990711029848753,0.3008354176763616,False
COA4,0.3927251019179696,0.0010593647041755262,0.3008354176763616,False
H6PD,-0.8361882476824745,0.0007066277588668517,0.3008354176763616,False
CBX7,-0.750738205004323,0.0005725544214886451,0.3008354176763616,False
SNORA5B,0.7240477629125586,0.0011741088862744073,0.3008354176763616,False
SYT17,-0.46853776880889253,0.001249977183062619,0.3008354176763616,False
SPC25,0.43314497301046817,0.0008548915026892449,0.3008354176763616,False
POT1,0.2888131497459092,0.0009013343499394287,0.3008354176763616,False
STEAP3,0.48109875142471026,0.0006192454172793061,0.3008354176763616,False
RBBP8,0.45579543073575657,0.0009527201400854158,0.3008354176763616,False
AAR2,0.2346279905329851,0.001085122675797861,0.3008354176763616,False
HSPB2,-0.4308277993587799,0.000479475852616748,0.3008354176763616,False
MIR4746,-0.30357452857335865,0.0010930986810051926,0.3008354176763616,False
POLE2,0.5976092782473037,0.0005282708977291848,0.3008354176763616,False
CDK1,0.4766468345661874,0.0005082658958214785,0.3008354176763616,False
ETV2,0.6223479799575937,0.0008144826455616633,0.3008354176763616,False
CADM4,-0.6616789832939878,0.0006039315481211347,0.3008354176763616,False
MKLN1,0.6324435815284994,0.0004648410528918001,0.3008354176763616,False
GSDMD,-0.7416702809312863,0.0009667300148769295,0.3008354176763616,False
KIF2C,0.3847660331743743,0.0009769717517613078,0.3008354176763616,False
MSTN,1.114309000477216,0.0011876338948625562,0.3008354176763616,False
TRPA1,0.47133272224468215,0.0012465866275441389,0.3008354176763616,False
SYNGR4,0.5319915719074437,0.0009273201235122521,0.3008354176763616,False
ITGBL1,0.5139001473525129,0.0011893415155367494,0.3008354176763616,False
LTB4R2,-0.8466424948018734,0.00101519428158726,0.3008354176763616,False
BRE,0.19924238463732458,0.0006010886244874785,0.3008354176763616,False
AKAP4,-0.6714150910482228,0.0008932625623969258,0.3008354176763616,False
ACTR3B,0.6761874546083089,0.0010197115470051475,0.3008354176763616,False
ADAT1,0.3745803768645022,0.0007389023576270394,0.3008354176763616,False
RP3-391O22.2,0.6587709215365587,0.0012226761774580285,0.3008354176763616,False
BAGE,0.8031572032869105,0.0007200649969702642,0.3008354176763616,False
GRB14,1.254112429561899,0.0014492671535391872,0.3029048150554113,False
TOMM34,0.22892654427970527,0.0014493384783921966,0.3029048150554113,False
POLR2A,-0.4387494658310267,0.0013201410100863009,0.3029048150554113,False
PMS2P5,0.3207866480891912,0.0014179560923419903,0.3029048150554113,False
GPC5,0.7899556672273942,0.001411819164101792,0.3029048150554113,False
YRDC,0.3530171445588195,0.0014426320425417834,0.3029048150554113,False
ARNTL2,0.5764757929749607,0.0013800389404135464,0.3029048150554113,False
PDLIM5,-0.3882915555322004,0.001464524300335901,0.3029048150554113,False
MGST2,0.7131889020056157,0.001371380781839047,0.3029048150554113,False
ZNF580,-0.8403653308901209,0.0015969952941327675,0.3155138314691857,False
CLDN22,-0.6228938260443835,0.0015592093650601453,0.3155138314691857,False
RXRA,-0.4068884191388733,0.0015814921688180295,0.3155138314691857,False
DPH2,0.360039724996172,0.002090329480036992,0.3192438969427393,False
GTF3C3,0.24371569133543858,0.001900311307787735,0.3192438969427393,False
RPL23AP22,0.7283319488844207,0.0019969824894796365,0.3192438969427393,False
EVX1,-0.5355021388473862,0.001906699646533309,0.3192438969427393,False
ZP2,-0.4275496746508938,0.0020672007770764834,0.3192438969427393,False
ME3,0.8036979484123741,0.0018215927889175883,0.3192438969427393,False
SCN5A,0.4678563783002492,0.0016817793877410565,0.3192438969427393,False
PTCD3,0.31676032808826093,0.0017322848818899313,0.3192438969427393,False
KLHL12,0.7505965870528462,0.0019024846720764195,0.3192438969427393,False
MKRN3,0.7316842026940016,0.0018580336200656477,0.3192438969427393,False
ATP5S,0.37695986328482967,0.002027556482098992,0.3192438969427393,False
WARS2,0.4327710205568005,0.002022238007771401,0.3192438969427393,False
SRD5A2,0.5211465122416366,0.0021279658021490714,0.3192438969427393,False
TTC23,0.49496865400234924,0.0021036320189780607,0.3192438969427393,False
GAS8,0.687037178080848,0.0017380560933597717,0.3192438969427393,False
TRAF4,-0.7637308682724289,0.001870404497819745,0.3192438969427393,False
DMD,0.3878041622434436,0.0018530863306412185,0.3192438969427393,False
DPYSL4,-0.6687292537760028,0.0018049446145200776,0.3192438969427393,False
MYO7A,0.36827273449830944,0.0020841812945628507,0.3192438969427393,False
GNG7,-0.40483110933191213,0.0021464611942210317,0.3192438969427393,False
TMEM39B,-0.4605632231854049,0.0016756237397377242,0.3192438969427393,False
NELL2,0.6024374537856314,0.001953752490682465,0.3192438969427393,False
CYSLTR1,-0.4805318967503869,0.0021830434003933703,0.32107717212230047,False
KIAA0485,0.45539675607276386,0.002302720775621711,0.33032533553078175,False
DLGAP5,0.5979491054689463,0.0023706962963982977,0.33032533553078175,False
LOC101928378,-0.6274844069277794,0.002290890521745691,0.33032533553078175,False
ZAP70,-0.5124043232634792,0.0023579824357612047,0.33032533553078175,False
NOTCH2NL,-1.0914375934542857,0.0023579287030481713,0.33032533553078175,False
PTPN9,0.4201541298214888,0.002476082570830436,0.33444801010288244,False
KATNB1,0.34448395264394627,0.0024582433294459654,0.33444801010288244,False
SMC2,0.5667672492294287,0.002439863230799424,0.33444801010288244,False
SRRD,0.49065538609969295,0.00254101133114764,0.33714291456063505,False
SERTAD3,-0.317564376118165,0.0025469737445088392,0.33714291456063505,False
MYH3,-0.713899278062442,0.002617847488788277,0.34151535444393516,False
PTAFR,0.389621768440394,0.0026316058134986317,0.34151535444393516,False
MYB,0.7312188279766092,0.0027319947998609055,0.35110111811416317,False
CALCOCO2,-0.2754975982879433,0.002958816729496891,0.3720464414187319,False
DDX27,0.21710077197997713,0.0029636149327230523,0.3720464414187319,False
RPE,0.4830483274271975,0.002979294612856809,0.3720464414187319,False
SH2B1,-0.22775281148970983,0.0030821139750649,0.3812891839993839,False
ERG,0.31934725174039613,0.003154990101540314,0.38276116675995925,False
NUDT4,-0.24710373097090965,0.003244106517460347,0.38276116675995925,False
TRMT61B,0.29376884157641037,0.0032576365500080174,0.38276116675995925,False
POLA1,0.4513478333660199,0.003195677527937593,0.38276116675995925,False
PKMYT1,0.2881473481444772,0.003267508638201662,0.38276116675995925,False
NUP85,0.26668945643707964,0.003178951593133657,0.38276116675995925,False
HPN,0.5334703323030476,0.0034530770219021708,0.38975560288873967,False
CTC1,-0.5372935151039915,0.003743491901444201,0.38975560288873967,False
C2orf47,0.3227410542606126,0.003734701214295726,0.38975560288873967,False
ZWINT,0.3885521655450894,0.003768883974447282,0.38975560288873967,False
RAB8B,-1.0353996279473687,0.0037516362912169495,0.38975560288873967,False
EMP3,-0.8420808216556601,0.003610024467225361,0.38975560288873967,False
GABRG2,0.3829783450850748,0.0036780596906105635,0.38975560288873967,False
KCTD3,0.5254747499607664,0.0034029085135470244,0.38975560288873967,False
NRXN1,0.7380918142144006,0.003590089572741203,0.38975560288873967,False
MBOAT2,0.36555676290388206,0.003723714325012699,0.38975560288873967,False
S100A14,0.33868740940781983,0.0037311023289917193,0.38975560288873967,False
CLCN5,0.42379239359352994,0.0033883417538862616,0.38975560288873967,False
EXOC5,0.5155788229418485,0.003497054821033097,0.38975560288873967,False
FKBPL,-0.611310388193723,0.0036612689987389037,0.38975560288873967,False
IGLV4-60,-0.8600736549928847,0.0035039702541598784,0.38975560288873967,False
PRB4,0.3998989023178785,0.0038147902170802776,0.3914447914999351,False
NMRK1,-0.35591792970271996,0.0038798020216972897,0.3950533797015925,False
ADAMTS5,0.37308085915665856,0.003953659598728517,0.3995007031173235,False
TLE4,-0.6372096423954972,0.004272718893330072,0.4140941319736637,False
TFDP3,-0.42885514138756786,0.004305491551708756,0.4140941319736637,False
SRPK1,0.23957380740053402,0.004400792163144167,0.4140941319736637,False
SPTB,0.7247300754931141,0.004311084909087723,0.4140941319736637,False
CEP83,0.24522262827113295,0.004410914301449466,0.4140941319736637,False
BZRAP1,0.5913889781882995,0.004203002606800851,0.4140941319736637,False
DCAF17,0.509708882724504,0.0043325898934877495,0.4140941319736637,False
APTX,0.23425829562833123,0.004381701733121837,0.4140941319736637,False
LMF1,-0.6367282362752356,0.004199318914283578,0.4140941319736637,False
AP1S1,0.41725010560968734,0.004313968826052515,0.4140941319736637,False
KIAA0247,-0.3236994158061215,0.004504120271176884,0.41986647908146774,False
SHCBP1,0.6732323266217719,0.004572135180089735,0.42322624740453024,False
PPP3CB,-0.26452407781826004,0.00475901310590061,0.42416814720075585,False
RCN2,0.3907747390783314,0.004639135007760052,0.42416814720075585,False
NELFCD,0.2916437036500916,0.004774575351885822,0.42416814720075585,False
ASIC2,0.47999251839526735,0.004690732750497769,0.42416814720075585,False
FHIT,0.4033990309196067,0.004757215137758172,0.42416814720075585,False
VANGL1,0.3750162172888949,0.004769104832726301,0.42416814720075585,False
DCAF11,0.19938860599193475,0.004829888883155149,0.42492587033009,False
SPPL2B,0.35026140102758063,0.005034151466030298,0.42492587033009,False
MED16,-0.20901246181741584,0.005034333985329304,0.42492587033009,False
CAMKMT,0.3738244083304272,0.004934715273317661,0.42492587033009,False
LAMP5,1.8728151688094936,0.005007164604347833,0.42492587033009,False
DLL3,0.5625611071568475,0.0048780355192471845,0.42492587033009,False
ADD1,-0.338536327333248,0.0050399155127161845,0.42492587033009,False
USP5,-0.3108809758688711,0.004993280805295435,0.42492587033009,False
PTPRG,1.0734542991077056,0.005125807352461798,0.4294323539527647,False
FTCD,0.6231267264181657,0.0052969582764622125,0.4382239794095644,False
MRPL11,0.20443491710607553,0.005279102634030353,0.4382239794095644,False
ZNHIT6,0.2513433586750278,0.005423873996346487,0.44593677074309596,False
