Gene Symbol,log2FC,pval,adj_pval,significant
AK096803,2.307143209051522,1.2484140359517193e-10,1.640416043240559e-06,True
RPS27,0.6399308896654521,2.6438128490072194e-09,1.0969191366475634e-05,False
CAB39,-0.7625522450787905,3.3391754540260686e-09,1.0969191366475634e-05,False
LOC100996756,-1.9515246960846984,3.15945914450547e-09,1.0969191366475634e-05,True
TMA7,0.9420350766828367,1.3606205412684953e-08,3.575710782453606e-05,False
HLA-C,0.5911636310207449,2.8827642732869992e-08,5.41136036442731e-05,False
RPS29,0.5976188039241741,2.5768343468663085e-08,5.41136036442731e-05,False
GPT,2.1219558659134075,5.19167839429858e-08,6.030296982110985e-05,True
HLA-J,1.171471871408622,4.737531182099426e-08,6.030296982110985e-05,True
RPS11,0.5963806576604096,5.401162026841026e-08,6.030296982110985e-05,False
NDNF,1.6400360831927792,4.3382431093940215e-08,6.030296982110985e-05,True
HLA-A,0.6428736271677842,5.507120531608206e-08,6.030296982110985e-05,False
RPL29,0.8520848077381888,9.258878508043969e-08,7.532980288405046e-05,False
RPS20,0.7370659094832241,9.432334926495169e-08,7.532980288405046e-05,False
EEF1G,0.5749044080028387,9.745864908895418e-08,7.532980288405046e-05,False
LOC100506248,0.8140226035764577,8.788196926397893e-08,7.532980288405046e-05,False
RPLP2,0.6812598869422128,9.279968155362268e-08,7.532980288405046e-05,False
RPL8,0.7258039831059779,1.0942459161319366e-07,7.720283653867442e-05,False
UBA52,0.7811365915869768,1.1163271645622633e-07,7.720283653867442e-05,False
EIF3K,0.6569134777464498,1.7378115602485157e-07,0.00011417421950832748,False
VSTM4,1.4093687728958728,1.8599919476850162e-07,0.0001163823532980053,True
CIDEB,-0.7504542833219823,1.953876197625265e-07,0.00011669969653089083,False
RPS19,0.8464178926118215,2.08220065252092e-07,0.0001189570285831517,False
DHDDS,-0.7311475652814217,2.3803540362413629e-07,0.00012918505391644404,False
RPS28,0.5746655406063592,2.5137038862227973e-07,0.00012918505391644404,False
RPL13,0.7654916981990993,2.556173060751556e-07,0.00012918505391644404,False
RPLP1,0.6704356586544638,2.7253688880412487e-07,0.00013263461921800745,False
NFKB1,-0.5563213988782305,3.054351271163941e-07,0.00014333634179676495,False
RPL32,0.7453737402340863,3.6086319418815954e-07,0.00015805807905441388,False
GLTP,0.9822257114551549,3.585294891917948e-07,0.00015805807905441388,False
RPL13A,0.6915421536003734,3.877723840929457e-07,0.0001643654557090744,False
ENTPD2,1.3236932774744274,4.2786209485529797e-07,0.00017569087269995673,True
POLD4,2.1041522970962125,4.607501711398896e-07,0.00018346234087206513,True
RPL41,0.48427764227009007,4.89881256690319e-07,0.00018391542036887978,False
SCAND1,0.738549702788017,4.781122346448943e-07,0.00018391542036887978,False
HSPH1,-1.244613975923956,5.059652681848977e-07,0.00018467732288748764,True
C17orf85,-0.4823219830466119,6.06590629745051e-07,0.0002154216452662154,False
ARHGDIG,1.735681352965714,6.531159890260478e-07,0.00022584063410005967,True
EEF1A1,0.5176714585025302,8.318556464926625e-07,0.00027658733542287666,False
UBR5,-0.5429675635786264,8.419705796739016e-07,0.00027658733542287666,False
PPP2R1A,0.7015521752502778,1.0837968937112512e-06,0.00034734368739916684,False
RPL12,0.7218293874135018,1.1874200983016152e-06,0.00037149285932579104,False
RPS14,0.5101498091585661,1.2746813448328394e-06,0.0003895189039791514,False
HSPA1A,-2.291624101685848,1.3665331179345625e-06,0.0004080964811286398,True
REN,-1.4813856304570887,1.5871294529051406e-06,0.0004634418002483011,True
LOC101929889,1.5672106415565619,1.8753394957558766e-06,0.000535694803787657,True
AAMDC,0.6195181226536448,1.976899897601111e-06,0.0005411763469683041,False
VCPKMT,-1.1803430799676793,1.9403610250614138e-06,0.0005411763469683041,True
MBD1,-0.6897294056845542,2.1432951801678254e-06,0.0005747530340286781,False
OPN3,-0.8211464026907738,2.524508213834979e-06,0.0006317369593534265,False
CENPM,-2.0650315243342368,2.5105463241033044e-06,0.0006317369593534265,True
AKR1C3,-2.040147567925116,2.548101890847154e-06,0.0006317369593534265,True
RPL37A,0.4353280923276195,2.4856580157186258e-06,0.0006317369593534265,False
SERPINA5,1.0185509932584127,2.742254478321543e-06,0.0006672819230582422,True
RPS6,0.5160053735894046,2.835900672500792e-06,0.0006775224515756438,False
GTF2IRD2B,1.0990528342833477,2.937013824754993e-06,0.0006891493153085822,True
RPS17,0.5896518166943832,3.2027809134865452e-06,0.0007101610024759238,False
BCL11A,0.8460017561929671,3.149165656638249e-06,0.0007101610024759238,False
HLA-B,0.46857047488811787,3.091845888960657e-06,0.0007101610024759238,False
GCLC,-0.8911235660797381,3.242744303543031e-06,0.0007101610024759238,False
SLC16A7,0.8360134795820784,3.3553676862187674e-06,0.0007227792032281083,False
GDAP1L1,1.4682835354946473,3.5344991941876064e-06,0.0007293011996965153,True
RPL5,0.5744083943887155,3.579780359743656e-06,0.0007293011996965153,False
ABHD17A,0.7577894111493038,3.6076543363982873e-06,0.0007293011996965153,False
RPLP0,0.5256446368002496,3.4687131351517703e-06,0.0007293011996965153,False
NDUFA2,0.47969547539030444,3.668212463759669e-06,0.0007303077541485159,False
