Gene Symbol,log2FC,pval,adj_pval,significant
SETD1B,-0.5550754534174356,1.23842504443349e-07,0.0016393032313166106,False
PFKFB3,-1.198844220373359,6.870707501476529e-07,0.004547377759852241,True
FASN,0.5638142849446979,2.3740553607529997e-06,0.007856342702571864,False
MAD2L1,0.8918290280573693,2.2611379992226843e-06,0.007856342702571864,False
RRM2,0.8699562517546262,3.2479921161658493e-06,0.00859873432833747,False
EFNB3,-0.7073150882990138,5.1512794762995005e-06,0.009741069489682355,False
TUBB,0.6120713925054879,4.461002471193333e-06,0.009741069489682355,False
CCT2,0.4963707245334703,9.537030142374059e-06,0.01578020849932568,False
SPINT2,-1.0711638971963051,1.7430348626387857e-05,0.025636169418610674,True
NUSAP1,0.6111997954724586,2.2810122602499764e-05,0.030193759288928937,False
CENPU,0.5811803743199775,2.5684431184104914e-05,0.03077753515189314,False
GMNN,0.6209743337739102,2.8922496471379916e-05,0.03077753515189314,False
MCM3,0.5014537433553361,3.022648311359151e-05,0.03077753515189314,False
TYMS,0.9268109689836308,3.338675802572854e-05,0.031567179713326336,False
TUBA1B,0.4363499957944885,3.717696487727909e-05,0.032807432272036224,False
TSSC4,1.0138123848418097,4.004216154962105e-05,0.03312738077702087,True
C8orf44-SGK3,-0.8440443337848418,4.5723567393695466e-05,0.03560252127002041,False
RAN,0.7065212556843399,5.771333735602474e-05,0.03993341882503438,False
PEX2,0.37413391979954547,5.5119435173893765e-05,0.03993341882503438,False
HOXA3,-0.7232480013729194,6.033605624391385e-05,0.03993341882503438,False
TPM1,-0.41259432295747267,7.805035797356666e-05,0.04919774230933818,False
DNAJB2,-0.7930679166974697,8.72347187455029e-05,0.050205477044966175,False
NDRG4,0.5533322259998581,8.529180288172629e-05,0.050205477044966175,False
KIAA0101,0.8009526648526499,9.952329256691125e-05,0.05489124265450851,False
DHFR,0.5371406685051507,0.00013000132667335837,0.0688331024470098,False
RAB27B,-0.9291577965273179,0.0001759024398172523,0.07618969946752199,False
HIST1H2BB,1.1068152386797632,0.00016098785476989085,0.07618969946752199,False
CPQ,-0.8474560027751181,0.00017567452453014557,0.07618969946752199,False
TFRC,0.4707107559591961,0.00017843020952581265,0.07618969946752199,False
SAMD4A,-0.8530886567734912,0.00017048274245470355,0.07618969946752199,False
TMEM59,-0.44953609592048416,0.0001749919856744149,0.07618969946752199,False
AKR1C1,-0.45740188238262647,0.0001995863392025363,0.08005831430375676,False
OGFR,0.4534232385609016,0.00019443178896390924,0.08005831430375676,False
HLA-B,-0.3329691641408399,0.0002148070033666025,0.08362942069305052,False
MCM6,0.4724806324957491,0.0002465521577086785,0.09194787074443271,False
OAS2,0.49449185500581194,0.00025006597769884246,0.09194787074443271,False
PSMD10,0.4928677366888845,0.0002634389153165527,0.09424705194716779,False
CCNB2,0.7162197051639021,0.00039330310028331807,0.10624802323367921,False
PAIP2B,-0.6173725172195805,0.0003261935351814873,0.10624802323367921,False
KPNA5,-0.7880930353091156,0.00038349191891192655,0.10624802323367921,False
LOC101060363,0.4095432363442466,0.0003865398166596289,0.10624802323367921,False
CTSG,-0.7276589082705645,0.00032111124154408704,0.10624802323367921,False
C1QBP,0.6100814240879568,0.00036293135066061923,0.10624802323367921,False
ZNF446,0.6340093634363013,0.0003867349162867694,0.10624802323367921,False
ATP5C1,0.3040182874312425,0.00037778933730517447,0.10624802323367921,False
AP1M2,-0.8321542584262165,0.0003273315731086796,0.10624802323367921,False
ARHGAP8,-0.9541999336745057,0.00034919934614431174,0.10624802323367921,False
PRDM16,1.1387744874550672,0.0003517845685726482,0.10624802323367921,False
RORA,-0.5919690199456316,0.00035753672543926436,0.10624802323367921,False
DIAPH1,0.7141567732656853,0.00040352031720152317,0.10682796877593125,False
PMS2P3,0.3742042104820573,0.00043277241742661297,0.10937788341449169,False
NCAPD2,0.7089334164247871,0.00044077574609870476,0.10937788341449169,False
UBE2A,0.34978018205984185,0.00043541440464938346,0.10937788341449169,False
TMEM262,-0.6404801115874141,0.00045104744312998555,0.10937788341449169,False
SEC23A,-0.4283826613361228,0.0004544672952932721,0.10937788341449169,False
DAK,0.9040351833268643,0.0004816814109759297,0.11316337309483156,False
CREBL2,-0.3358711401405685,0.00048729411999738604,0.11316337309483156,False
FASTKD5,-0.36415400276698584,0.000520830992804112,0.11685152291098358,False
RACGAP1,0.572725206076405,0.0005201770271823119,0.11685152291098358,False
KIF20A,1.0328120098986044,0.0005498931155431463,0.11740218016846174,False
PRMT1,0.4209571051870178,0.0005457513256204619,0.11740218016846174,False
ZNF117,-0.49209651629285567,0.0005446763520902634,0.11740218016846174,False
ASXL2,-0.3943200926459074,0.0005708087385074897,0.11967408045230866,False
DHDDS,-0.3500536908695402,0.0005786160874025651,0.11967408045230866,False
PFDN4,0.40951804193030306,0.0005937366612020853,0.12091218745126157,False
MIF,0.5264633884286116,0.0006135641849974065,0.12122013607180104,False
MCFD2,-0.4126413314629964,0.0006118930139866262,0.12122013607180104,False
IGHG1,-1.129968862228985,0.0006254475696982174,0.12175072764846036,False
